doc_id	layer	span	position	zuordnung
28_technischer-produktdesigner	KNOWLEDGE	MS-Office-Kenntnisse	1605-1625	exakt wie A
29_lagermitarbeiter	SKILL	Umlagerungen zur Optimierung der Lagerbestände	278-324	exakt wie A
29_lagermitarbeiter	SKILL	Verpackung der Fertigwaren	350-376	exakt wie A
29_lagermitarbeiter	SKILL	Kommunikations - und Teamfähigkeit	1074-1107	exakt wie B
29_lagermitarbeiter	SKILL	Reinigungs - und Ordnungstätigkeiten	612-647	am strittigen Span
29_lagermitarbeiter	SKILL	Reinigungs - und Ordnungstätigkeiten		an Satzgrenze geteilt (2 Teile)
30_technischer-projektleiter-elektro	SKILL	Technische Abwicklung von Kundenverträgen für elektrische und leittechnische Systeme	73-157	exakt wie A
30_technischer-projektleiter-elektro	SKILL	technische Koordination von Generatoren , Transformatoren sowie Mittel - und Hochspannungsschaltanlagen ( MV/HV )	235-344	am strittigen Span
30_technischer-projektleiter-elektro	SKILL	Spezifikation und Auslegung der Elektro - und Leittechnik	347-403	exakt wie A
30_technischer-projektleiter-elektro	SKILL	Kommunikations - , Koordinations - und Schnittstellenkompetenz	1616-1675	exakt wie B
30_technischer-projektleiter-elektro	SKILL	Montage - oder Inbetriebnahmetätigkeiten	1211-1250	exakt wie B
30_technischer-projektleiter-elektro	KNOWLEDGE	Englischkenntnisse		bereits vorhanden
30_technischer-projektleiter-elektro	KNOWLEDGE	elektrischer Energieanlagen	1337-1364	exakt wie B
